Samsung GNV (S5KGN1 VIVOカスタム),5000,1.2,Yes
Samsung GM5 (S5KGM5),4800,0.7,Yes
Samsung GM2 (S5KGM2),4800,0.8,Yes
Samsung GM1 (S5KGM1),4800,0.8,Yes
Samsung JN5,5000,0.64,Yes
Samsung JN1 (S5KJN1),5000,0.64,Yes
Samsung JD1 (S5KJD1),3200,0.7,Yes
Samsung GH1 (S5KGH1),4400,0.7,Yes
Samsung GD1,3200,0.8,Unknown
Samsung KD1,3200,0.64,Yes
Samsung S5K4H7,800,1.12,No
Samsung S5K3P9,1600,1,No
Samsung S5K3M5,1300,1,No
Samsung S5K3L6 (ISOCELL 3L6),1300,1.12,No
Samsung S5K2L9,1220,1.4,No
Samsung S5K2L7,1220,1.4,No
Samsung S5K2L4,1220,1.4,No
Samsung S5K2L3,1220,1.4,No
Samsung S5K2L2,1220,1.4,No
Samsung S5K2L1,1220,1.4,No
GalaxyCore GC50E0,5000,0.7,No
GalaxyCore GC50B2,5000,1,No
GalaxyCore GC32E1,3200,0.7,Unknown
SmartSens SC585XS,5000,1.22,Yes
SmartSens SC580XS,5000,1.22,Yes
SmartSens SC550XS,5000,1,Yes
Toshiba CK26V1 (Nokia Lumia 1020),4130,1.12,No
東芝HES9 (Nokia 808 PureView),4130,1.4,No
